timestamp,voltage_V
2025-11-04T19:27:40.771223,2.492
2025-11-04T19:27:40.872697,2.491
2025-11-04T19:27:40.974679,1.723
2025-11-04T19:27:41.073586,1.727
2025-11-04T19:27:41.175968,1.982
2025-11-04T19:27:41.295242,1.732
2025-11-04T19:27:41.381855,2.495
2025-11-04T19:27:41.478122,2.491
2025-11-04T19:27:41.579793,1.726
2025-11-04T19:27:41.682536,2.483
2025-11-04T19:27:41.781614,2.491
2025-11-04T19:27:41.886901,2.5
2025-11-04T19:27:41.983182,2.492
2025-11-04T19:27:42.085362,1.722
2025-11-04T19:27:42.186206,1.721
2025-11-04T19:27:42.287167,1.721
2025-11-04T19:27:42.388555,1.722
2025-11-04T19:27:42.488551,1.724
2025-11-04T19:27:42.590282,2.491
2025-11-04T19:27:42.690479,1.724
2025-11-04T19:27:42.791904,1.724
2025-11-04T19:27:42.896483,1.727
2025-11-04T19:27:42.992557,1.729
2025-11-04T19:27:43.093845,1.733
2025-11-04T19:27:43.195470,1.732
2025-11-04T19:27:43.296467,1.729
2025-11-04T19:27:43.399380,1.726
2025-11-04T19:27:43.498381,1.733
2025-11-04T19:27:43.599172,1.733
2025-11-04T19:27:43.701759,1.733
2025-11-04T19:27:43.803436,1.734
2025-11-04T19:27:43.906357,1.737
2025-11-04T19:27:44.007442,1.733
2025-11-04T19:27:44.104384,1.734
2025-11-04T19:27:44.218078,1.735
2025-11-04T19:27:44.306035,2.488
2025-11-04T19:27:44.409078,1.725
2025-11-04T19:27:44.511182,1.724
2025-11-04T19:27:44.609698,1.723
2025-11-04T19:27:44.710048,1.724
2025-11-04T19:27:44.811367,1.721
2025-11-04T19:27:44.911855,2.455
2025-11-04T19:27:45.014831,2.459
2025-11-04T19:27:45.115744,1.716
2025-11-04T19:27:45.215313,1.718
2025-11-04T19:27:45.314639,1.718
2025-11-04T19:27:45.415594,1.72
2025-11-04T19:27:45.516561,1.722
2025-11-04T19:27:45.618991,1.722
2025-11-04T19:27:45.718871,1.717
2025-11-04T19:27:45.821462,1.723
2025-11-04T19:27:45.923496,1.721
2025-11-04T19:27:46.023506,1.719
2025-11-04T19:27:46.125790,1.719
2025-11-04T19:27:46.224375,1.713
2025-11-04T19:27:46.324417,1.722
2025-11-04T19:27:46.442796,1.721
2025-11-04T19:27:46.528935,2.47
2025-11-04T19:27:46.627942,1.721
2025-11-04T19:27:46.732809,1.721
2025-11-04T19:27:46.835400,1.721
2025-11-04T19:27:46.930713,1.721
2025-11-04T19:27:47.034044,1.717
2025-11-04T19:27:47.132629,1.72
2025-11-04T19:27:47.234883,1.72
2025-11-04T19:27:47.339711,1.719
2025-11-04T19:27:47.438345,1.722
2025-11-04T19:27:47.542609,1.721
2025-11-04T19:27:47.642964,1.717
2025-11-04T19:27:47.740643,1.72
2025-11-04T19:27:47.843743,1.72
2025-11-04T19:27:47.942239,1.719
2025-11-04T19:27:48.044509,1.724
2025-11-04T19:27:48.148000,1.721
2025-11-04T19:27:48.246296,1.718
2025-11-04T19:27:48.351167,1.72
2025-11-04T19:27:48.451446,1.722
2025-11-04T19:27:48.549422,1.721
2025-11-04T19:27:48.649916,1.721
2025-11-04T19:27:48.751834,1.726
2025-11-04T19:27:48.852792,1.725
2025-11-04T19:27:48.954782,1.724
2025-11-04T19:27:49.052830,1.73
2025-11-04T19:27:49.155204,2.488
2025-11-04T19:27:49.253827,2.488
2025-11-04T19:27:49.356257,2.489
2025-11-04T19:27:49.458024,1.725
2025-11-04T19:27:49.558297,1.729
2025-11-04T19:27:49.659101,1.727
2025-11-04T19:27:49.794814,2.484
2025-11-04T19:27:49.862498,2.465
2025-11-04T19:27:49.963514,1.724
2025-11-04T19:27:50.069308,2.454
